gene,arm1_colour_colour,arm2_colour_gray,arm3_gray_gray,delta_arm3_arm1,delta_arm2_arm1
A2M,0.481300,0.427084,0.470905,-0.010395,-0.054216
AAMDC,0.182784,0.135765,0.154307,-0.028477,-0.047019
ABCA3,0.339691,0.302655,0.330839,-0.008851,-0.037036
ABCA7,0.259142,0.231099,0.249532,-0.009609,-0.028043
ABCF3,0.432578,0.383437,0.433148,0.000571,-0.049141
ABHD14A,0.223762,0.192378,0.219777,-0.003984,-0.031384
ABHD4,0.207035,0.200073,0.206269,-0.000766,-0.006962
ACAA1,0.361108,0.356973,0.370820,0.009712,-0.004135
ACER3,0.075443,0.109122,0.138498,0.063055,0.033679
ACTR3B,0.174772,0.138709,0.141002,-0.033770,-0.036063
ADAM15,0.331306,0.302528,0.334371,0.003066,-0.028777
ADCY3,0.288412,0.238587,0.278977,-0.009434,-0.049825
ADI1,0.469687,0.425897,0.469190,-0.000497,-0.043790
AEBP1,0.278391,0.238545,0.267780,-0.010611,-0.039846
AES,0.347576,0.304527,0.329148,-0.018428,-0.043050
AGAP2,0.160233,0.096017,0.167491,0.007258,-0.064216
AGO2,0.320337,0.295627,0.319044,-0.001293,-0.024710
AGPAT2,0.376355,0.306640,0.371789,-0.004566,-0.069715
AGR2,0.472948,0.431602,0.466490,-0.006458,-0.041346
AHCY,0.529457,0.460925,0.533752,0.004295,-0.068532
AKAP9,0.293834,0.264621,0.275120,-0.018714,-0.029213
AKR1A1,0.501540,0.431109,0.491556,-0.009984,-0.070431
AKT1S1,0.394099,0.349153,0.398348,0.004249,-0.044946
ALDH16A1,0.426394,0.382898,0.432437,0.006043,-0.043496
ALG3,0.441728,0.396766,0.434689,-0.007039,-0.044961
ANGPTL4,0.036378,-0.023300,0.030160,-0.006218,-0.059678
ANKLE2,0.445652,0.397774,0.444791,-0.000861,-0.047877
ANKRD12,0.328199,0.302634,0.324609,-0.003591,-0.025565
ANKRD28,0.331072,0.293904,0.334380,0.003307,-0.037168
ANLN,0.398675,0.359809,0.402378,0.003703,-0.038865
ANO10,0.203421,0.174242,0.174470,-0.028951,-0.029179
AP5B1,0.130000,0.116970,0.161049,0.031049,-0.013030
AP5Z1,0.368201,0.322460,0.383561,0.015360,-0.045741
APBA2,0.215610,0.182504,0.228758,0.013148,-0.033106
APBB2,0.355634,0.309750,0.357871,0.002236,-0.045885
APOBEC3G,0.412914,0.359807,0.421764,0.008850,-0.053107
APOC1,0.290939,0.265674,0.274187,-0.016751,-0.025265
AQP1,0.193914,0.147391,0.200174,0.006260,-0.046523
ARF5,0.182334,0.183489,0.179120,-0.003214,0.001156
ARF6,0.544918,0.485967,0.549674,0.004756,-0.058952
ARFGEF2,0.401858,0.367401,0.419819,0.017961,-0.034458
ARHGAP10,0.189861,0.148067,0.179104,-0.010757,-0.041794
ARHGAP4,0.352346,0.313396,0.354658,0.002313,-0.038949
ARHGAP45,0.443734,0.371520,0.447817,0.004083,-0.072214
ARHGAP5,0.353017,0.313777,0.348688,-0.004329,-0.039240
ARHGEF10L,0.267043,0.249674,0.240658,-0.026385,-0.017370
ARHGEF3,0.421319,0.392940,0.427810,0.006491,-0.028379
ARHGEF40,0.199940,0.210855,0.184881,-0.015059,0.010915
ARID1B,0.255068,0.226086,0.273683,0.018615,-0.028982
ARID3A,0.231858,0.196428,0.226487,-0.005371,-0.035430
ARID4A,0.235887,0.204052,0.234358,-0.001530,-0.031836
ARID5A,0.382226,0.334866,0.378414,-0.003812,-0.047360
ARID5B,0.206817,0.169567,0.197475,-0.009342,-0.037250
ARNT,0.377651,0.333534,0.370398,-0.007253,-0.044118
ASCL2,0.272272,0.226229,0.263751,-0.008521,-0.046044
ASH2L,0.460869,0.399001,0.450275,-0.010594,-0.061868
ASL,0.305672,0.285912,0.306654,0.000982,-0.019760
ASMTL,0.254456,0.190306,0.251316,-0.003141,-0.064151
