arm,label,section,n_spots,n_genes_valid,alignment,pcc_mean,pcc_median,frac_pcc_positive,sse_ratio_median,frac_beat_baseline,sd_ratio_median
arm1,colour_train_colour_test,B1,295,833,,0.34122553358465785,0.34424154113982597,0.9951980792316927,0.9385876442522794,0.7430972388955582,0.507514988937522
arm1,colour_train_colour_test,B2,270,833,,0.40708382142629096,0.42029414668672543,0.9951980792316927,0.8451095246176354,0.9315726290516206,0.44999466461402976
arm1,colour_train_colour_test,B3,298,832,,0.3474622420261734,0.3530068951026766,0.9891956782713085,0.9131319079122173,0.7935174069627852,0.5094909924442894
arm1,colour_train_colour_test,B4,283,833,,0.4013996443802275,0.40783657637047194,0.9939975990396158,0.8742986868715632,0.885954381752701,0.4928812981359336
arm1,colour_train_colour_test,B5,289,832,,0.3424562273007872,0.3437628392538538,0.9951980792316927,0.9286258945884938,0.78031212484994,0.47857498181287816
arm1,colour_train_colour_test,B6,277,833,,0.35931705087631516,0.370552597468366,0.9975990396158463,0.9005704059087506,0.8307322929171669,0.49147617318889264
arm2,colour_train_gray_test,B1,295,833,,0.3086959339759807,0.31516562112223623,0.9843937575030012,0.9578539166061195,0.6698679471788715,0.44640493060792447
arm2,colour_train_gray_test,B2,270,833,,0.3538805241405876,0.36821361690192284,0.9915966386554622,0.9074115171368433,0.8235294117647058,0.38573605252980003
arm2,colour_train_gray_test,B3,298,832,,0.3322459392510941,0.3370426351619113,0.9879951980792316,0.9480501688791401,0.7034813925570228,0.5010507225005746
arm2,colour_train_gray_test,B4,283,833,,0.33169750068162995,0.3486064966482739,0.9759903961584634,1.0390590672961526,0.36614645858343337,0.4284198411938472
arm2,colour_train_gray_test,B5,289,832,,0.2946711900529163,0.2988002976082695,0.9843937575030012,0.9728556913734594,0.6302521008403361,0.43813731121015964
arm2,colour_train_gray_test,B6,277,833,,0.33407461649863057,0.3396233140884445,0.9939975990396158,0.9345562405674087,0.7671068427370948,0.42226826850754273
arm3,gray_train_gray_test,B1,295,833,,0.3351868013421756,0.33649426284086903,0.9963985594237695,0.924683768602992,0.8151260504201681,0.4506781031067854
arm3,gray_train_gray_test,B2,270,833,,0.4000732134832234,0.41665023248991523,0.9951980792316927,0.850887798167135,0.9195678271308524,0.44375765844770143
arm3,gray_train_gray_test,B3,298,832,,0.34369489131448305,0.3498408702975641,0.9903961584633854,0.9207057436207049,0.7635054021608644,0.4952117103553893
arm3,gray_train_gray_test,B4,283,833,,0.40306981811987386,0.4115532910708208,0.992797118847539,0.8622558501212553,0.8835534213685474,0.515680567950514
arm3,gray_train_gray_test,B5,289,832,,0.34232785230483925,0.3462507215154861,0.992797118847539,0.9282988554576679,0.765906362545018,0.49684483893685816
arm3,gray_train_gray_test,B6,277,833,,0.35686348819876057,0.37019514533828907,0.9963985594237695,0.902243548136716,0.843937575030012,0.4582974130071089
