gene,all,hvg,svg,marker
A2M,TRUE,TRUE,FALSE,FALSE
AAMDC,TRUE,FALSE,FALSE,FALSE
ABCA3,TRUE,FALSE,FALSE,FALSE
ABCA7,TRUE,FALSE,FALSE,FALSE
ABCF3,TRUE,FALSE,FALSE,FALSE
ABHD14A,TRUE,FALSE,FALSE,FALSE
ABHD4,TRUE,FALSE,FALSE,FALSE
ACAA1,TRUE,FALSE,FALSE,FALSE
ACER3,TRUE,FALSE,FALSE,FALSE
ACTR3B,TRUE,FALSE,FALSE,FALSE
ADAM15,TRUE,FALSE,FALSE,FALSE
ADCY3,TRUE,FALSE,FALSE,FALSE
ADI1,TRUE,FALSE,FALSE,FALSE
AEBP1,TRUE,FALSE,TRUE,FALSE
AES,TRUE,FALSE,TRUE,FALSE
AGAP2,TRUE,FALSE,FALSE,FALSE
AGO2,TRUE,FALSE,FALSE,FALSE
AGPAT2,TRUE,FALSE,FALSE,FALSE
AGR2,TRUE,FALSE,FALSE,FALSE
AHCY,TRUE,FALSE,FALSE,FALSE
AKAP9,TRUE,FALSE,FALSE,FALSE
AKR1A1,TRUE,FALSE,FALSE,FALSE
AKT1S1,TRUE,FALSE,FALSE,FALSE
ALDH16A1,TRUE,FALSE,FALSE,FALSE
ALG3,TRUE,FALSE,FALSE,FALSE
ANGPTL4,TRUE,FALSE,FALSE,FALSE
ANKLE2,TRUE,FALSE,FALSE,FALSE
ANKRD12,TRUE,FALSE,FALSE,FALSE
ANKRD28,TRUE,FALSE,FALSE,FALSE
ANLN,TRUE,FALSE,FALSE,FALSE
ANO10,TRUE,FALSE,FALSE,FALSE
AP5B1,TRUE,FALSE,FALSE,FALSE
AP5Z1,TRUE,FALSE,FALSE,FALSE
APBA2,TRUE,FALSE,FALSE,FALSE
APBB2,TRUE,FALSE,FALSE,FALSE
APOBEC3G,TRUE,FALSE,FALSE,FALSE
APOC1,TRUE,TRUE,FALSE,FALSE
AQP1,TRUE,TRUE,FALSE,FALSE
ARF5,TRUE,FALSE,FALSE,FALSE
ARF6,TRUE,FALSE,FALSE,FALSE
ARFGEF2,TRUE,FALSE,FALSE,FALSE
ARHGAP10,TRUE,FALSE,FALSE,FALSE
ARHGAP4,TRUE,FALSE,FALSE,FALSE
ARHGAP45,TRUE,FALSE,FALSE,FALSE
ARHGAP5,TRUE,FALSE,FALSE,FALSE
ARHGEF10L,TRUE,FALSE,FALSE,FALSE
ARHGEF3,TRUE,FALSE,FALSE,FALSE
ARHGEF40,TRUE,FALSE,FALSE,FALSE
ARID1B,TRUE,FALSE,FALSE,FALSE
ARID3A,TRUE,FALSE,FALSE,FALSE
ARID4A,TRUE,FALSE,FALSE,FALSE
ARID5A,TRUE,FALSE,FALSE,FALSE
ARID5B,TRUE,FALSE,FALSE,FALSE
ARNT,TRUE,FALSE,FALSE,FALSE
ASCL2,TRUE,FALSE,FALSE,FALSE
ASH2L,TRUE,FALSE,FALSE,FALSE
ASL,TRUE,FALSE,FALSE,FALSE
ASMTL,TRUE,FALSE,FALSE,FALSE
ASNA1,TRUE,FALSE,FALSE,FALSE
ASNS,TRUE,FALSE,FALSE,FALSE
ATAD1,TRUE,FALSE,FALSE,FALSE
ATF6B,TRUE,FALSE,FALSE,FALSE
ATG12,TRUE,FALSE,FALSE,FALSE
ATG16L2,TRUE,FALSE,FALSE,FALSE
ATL2,TRUE,FALSE,FALSE,FALSE
ATP5H,TRUE,FALSE,FALSE,FALSE
ATP5O,TRUE,FALSE,FALSE,FALSE
ATP6AP1,TRUE,FALSE,TRUE,FALSE
ATP6V0D1,TRUE,FALSE,FALSE,FALSE
AURKAIP1,TRUE,FALSE,FALSE,FALSE
AVEN,TRUE,FALSE,FALSE,FALSE
BABAM1,TRUE,FALSE,FALSE,FALSE
BAD,TRUE,FALSE,FALSE,FALSE
BAG1,TRUE,FALSE,FALSE,FALSE
BAIAP3,TRUE,FALSE,FALSE,FALSE
BCAM,TRUE,FALSE,FALSE,FALSE
BCL2,TRUE,FALSE,FALSE,FALSE
BCL2L12,TRUE,FALSE,FALSE,FALSE
BGN,TRUE,FALSE,FALSE,FALSE
BICDL1,TRUE,FALSE,FALSE,FALSE
BIN3,TRUE,FALSE,FALSE,FALSE
BIRC2,TRUE,FALSE,FALSE,FALSE
BIRC5,TRUE,FALSE,FALSE,FALSE
BLVRA,TRUE,FALSE,FALSE,FALSE
BOK,TRUE,FALSE,FALSE,FALSE
BOLA3,TRUE,FALSE,FALSE,FALSE
BRD9,TRUE,FALSE,FALSE,FALSE
BRF1,TRUE,FALSE,FALSE,FALSE
BRF2,TRUE,FALSE,FALSE,FALSE
BRK1,TRUE,FALSE,FALSE,FALSE
BRPF1,TRUE,FALSE,FALSE,FALSE
BSG,TRUE,FALSE,TRUE,FALSE
BST2,TRUE,FALSE,FALSE,FALSE
BTG1,TRUE,FALSE,FALSE,FALSE
C10orf10,TRUE,FALSE,FALSE,FALSE
C10orf54,TRUE,FALSE,FALSE,FALSE
C12orf45,TRUE,FALSE,FALSE,FALSE
C15orf61,TRUE,FALSE,FALSE,FALSE
C19orf24,TRUE,FALSE,FALSE,FALSE
C19orf52,TRUE,FALSE,FALSE,FALSE
C19orf60,TRUE,FALSE,FALSE,FALSE
C1QB,TRUE,FALSE,FALSE,FALSE
C1R,TRUE,FALSE,FALSE,FALSE
C1S,TRUE,FALSE,FALSE,FALSE
C1orf216,TRUE,FALSE,FALSE,FALSE
C2,TRUE,FALSE,FALSE,FALSE
C2CD2L,TRUE,FALSE,FALSE,FALSE
C3,TRUE,TRUE,FALSE,FALSE
C4orf48,TRUE,TRUE,FALSE,FALSE
C5orf38,TRUE,FALSE,FALSE,FALSE
C6orf136,TRUE,FALSE,FALSE,FALSE
C6orf48,TRUE,FALSE,FALSE,FALSE
CADM4,TRUE,FALSE,FALSE,FALSE
CALML5,TRUE,FALSE,FALSE,FALSE
CAMTA2,TRUE,FALSE,FALSE,FALSE
CAPG,TRUE,FALSE,FALSE,FALSE
CARS2,TRUE,FALSE,FALSE,FALSE
CBLC,TRUE,FALSE,FALSE,FALSE
CCDC106,TRUE,FALSE,FALSE,FALSE
CCDC167,TRUE,FALSE,FALSE,FALSE
CCDC57,TRUE,FALSE,FALSE,FALSE
CCDC80,TRUE,FALSE,FALSE,FALSE
