section,gene,p_adj
A1,A2M,0.017704099362347556
A1,AAMDC,1
A1,ABCA3,1
A1,ABCA7,0.0721724228264842
A1,ABCF3,0.00866329164178947
A1,ABHD14A,1
A1,ABHD4,1
A1,ACAA1,1
A1,ACER3,1
A1,ACTR3B,1
A1,ADAM15,7.708084232863249e-13
A1,ADCY3,1
A1,ADI1,0.00421077024185571
A1,AEBP1,1
A1,AES,1.0107781321801037e-8
A1,AGAP2,1
A1,AGO2,1
A1,AGPAT2,3.1699496407650116e-12
A1,AGR2,9.5148361258433e-4
A1,AHCY,1
A1,AKAP9,1
A1,AKR1A1,0.316070632269066
A1,AKT1S1,3.658201704614737e-5
A1,ALDH16A1,1
A1,ALG3,1
A1,ANGPTL4,1
A1,ANKLE2,1
A1,ANKRD12,1
A1,ANKRD28,1
A1,ANLN,1
A1,ANO10,1
A1,AP5B1,1
A1,AP5Z1,1
A1,APBA2,1
A1,APBB2,1
A1,APOBEC3G,1
A1,APOC1,0.5433074686703644
A1,AQP1,0.026399520850107383
A1,ARF5,5.896975442670715e-4
A1,ARF6,1
A1,ARFGEF2,1
A1,ARHGAP10,1
A1,ARHGAP4,1
A1,ARHGAP45,0.023238264217921925
A1,ARHGAP5,1
A1,ARHGEF10L,1
A1,ARHGEF3,1
A1,ARHGEF40,1
A1,ARID1B,1
A1,ARID3A,1
A1,ARID4A,1
A1,ARID5A,0.0050405476027841865
A1,ARID5B,1
A1,ARNT,1
A1,ASCL2,1
A1,ASH2L,1
A1,ASL,1
A1,ASMTL,1
A1,ASNA1,2.826557797353697e-4
A1,ASNS,1
A1,ATAD1,1
A1,ATF6B,1
A1,ATG12,1
A1,ATG16L2,1
A1,ATL2,1
A1,ATP5H,1
A1,ATP5O,1
A1,ATP6AP1,5.700683100700103e-5
A1,ATP6V0D1,0.25880782900368754
A1,AURKAIP1,0.16703464040268468
A1,AVEN,0.4988030579605335
A1,BABAM1,1
A1,BAD,2.212337471765731e-9
A1,BAG1,0.6095203613546439
A1,BAIAP3,1
A1,BCAM,1
A1,BCL2,0.8214289180051814
A1,BCL2L12,1
A1,BGN,0.6317856577028741
A1,BICDL1,1
A1,BIN3,1
A1,BIRC2,1
A1,BIRC5,1
A1,BLVRA,1
A1,BOK,0.0012491506086645013
A1,BOLA3,1
A1,BRD9,0.1503789876658413
A1,BRF1,0.3750370231885057
A1,BRF2,1
A1,BRK1,1
A1,BRPF1,0.6230226937114023
A1,BSG,1.1588403909179637e-11
A1,BST2,0.08600869397818942
A1,BTG1,1
A1,C10orf10,1
A1,C10orf54,0.4988030579605335
A1,C12orf45,1
A1,C15orf61,1
A1,C19orf24,9.5148361258433e-4
A1,C19orf52,1
A1,C19orf60,2.826557797353697e-4
A1,C1QB,0.5720049571392068
A1,C1R,0.12729205191527415
A1,C1S,1
A1,C1orf216,1
A1,C2,1
A1,C2CD2L,1
A1,C3,0.007826320366700602
A1,C4orf48,7.200548538055169e-4
A1,C5orf38,0.01231926082144105
A1,C6orf136,1
A1,C6orf48,1
A1,CADM4,0.09833773699164369
A1,CALML5,7.900183036091222e-4
A1,CAMTA2,0.52388158021431
A1,CAPG,1
A1,CARS2,1
A1,CBLC,0.001004422718190606
A1,CCDC106,1
A1,CCDC167,1
A1,CCDC57,8.281389598342008e-4
A1,CCDC80,1
A1,CCDC88B,0.5312235756595001
A1,CCL19,1
A1,CCL2,1
A1,CCL21,1
A1,CCM2,0.025417304189277498
A1,CCNB1,0.3750370231885057
A1,CCNB1IP1,1
A1,CCNE1,1
A1,CCNE2,1
A1,CCS,1
A1,CCT4,1
A1,CD14,0.019008883882547598
A1,CD320,1
A1,CD3D,1
A1,CD4,1
A1,CD52,1
A1,CD68,0.15701567192210508
A1,CD74,0.4102493814845156
A1,CD79A,1
A1,CDC20,1
A1,CDC6,1
