gene,n_sig,n_tested,median_padj
ERBB2,38,38,1.9364155274520164e-12
KRT8,38,38,7.386779318552915e-8
HSPB1,38,38,1.0343625369126071e-6
UBA52,37,38,1.0005061302626135e-10
IGFBP2,37,38,3.006643839723792e-8
GRB7,37,38,1.076877997625031e-7
CLDN4,37,38,1.7219883271377327e-7
FASN,37,38,5.768351766337836e-7
BSG,36,38,3.3540520016774985e-10
AES,36,38,2.255131401482683e-9
CLDN3,36,38,5.0719289441035684e-8
LMNA,36,38,1.0001352263985088e-7
PRKCSH,36,38,1.1397376694633942e-6
EIF3B,36,38,9.257961565139022e-6
ATP6AP1,35,38,2.847748601526799e-7
GNAS,35,38,9.657491449670237e-7
TIMP1,34,38,2.8961670546213298e-5
ASNA1,34,38,6.07005186311746e-4
FLNA,33,38,5.543163030805641e-8
NDUFB9,33,38,1.2087867883349488e-7
AEBP1,33,38,1.7092791677583185e-7
SCD,33,38,2.9605945286443394e-6
HCFC1R1,33,38,3.8809357148926645e-6
UQCRC1,33,38,4.558249486612453e-6
CNN2,33,38,8.462166173004071e-6
BGN,33,38,1.0750578417466307e-5
PTOV1,33,38,2.583405691910924e-5
COMP,33,38,4.428834546908281e-5
C3,33,38,5.174029978856924e-5
HLA-B,33,38,5.766113998011605e-5
MGP,32,38,3.5405451781262737e-7
MUC1,32,38,2.7087500516892074e-6
MYL9,32,38,1.12994452101854e-5
AGPAT2,32,38,2.2300011686057917e-5
GNAI2,32,38,3.8660769645933464e-5
BST2,32,38,1.2294321299558098e-4
CRABP2,32,38,1.924285170546329e-4
LTBP3,32,38,0.0012038021836849253
NDRG1,31,38,3.2814909432126343e-7
S100A14,31,38,8.4904974603476e-7
FN1,31,38,5.441818682614927e-6
CORO1B,31,38,6.595354720312278e-5
CD74,31,38,1.1807196782694797e-4
FOXP4,31,38,1.2927737922453094e-4
C4orf48,31,38,1.7775108191403174e-4
TMBIM6,31,38,0.0011471321740175507
S100A9,31,38,0.0012417572552163867
C1QB,31,38,0.0018204665001312769
WDR34,30,38,2.1896257681771163e-6
IGLC2,30,38,2.649074665766634e-6
MUCL1,30,38,1.5118263804639537e-5
GANAB,30,38,2.6338534311359847e-5
SGTA,30,38,3.600877688877622e-5
MPST,30,38,4.2453343408382015e-4
IGHA1,30,38,7.205810616379158e-4
HNRNPUL2,30,38,7.868994686400187e-4
IER5L,30,38,0.001916672167794441
FADS2,29,38,1.5160837381610827e-6
ADAM15,29,38,3.79909514858709e-6
LGALS1,29,38,2.755671479278722e-4
MLST8,29,38,7.160521569995003e-4
COL3A1,29,38,9.993284295949233e-4
MYL12B,29,38,0.0018135641185204065
ERI3,29,38,0.001906236752220051
NMRAL1,29,38,0.0019364078644072932
COL6A2,29,38,0.0023019447309924447
FKBP8,29,38,0.002873709772182903
QSOX1,29,38,0.0032799319439334807
AGR2,29,38,0.0037724239140659132
IGKC,28,38,1.405064308254812e-6
AKT1S1,28,38,5.1082882555954265e-5
NINJ1,28,38,5.2642778530342036e-5
BAD,28,38,8.759793713489347e-5
POLR2J,28,38,2.0628978002959822e-4
GPS1,28,38,2.3072776938032357e-4
ZMYND19,28,38,2.896452251588122e-4
SAT1,28,38,0.001110535139134297
TMEM123,28,38,0.0011525865544591148
GSK3A,28,38,0.0013256045449922887
APOC1,28,38,0.001383100360765793
RHOB,28,38,0.003158776445014401
VIM,28,38,0.003565355608382117
PIGQ,28,38,0.015573397832499634
IFI27,27,38,6.189129399377477e-9
SPARC,27,38,2.5289714774033216e-5
PLXND1,27,38,1.4918941080391105e-4
GATA3,27,38,6.468075071447094e-4
PNMT,27,38,8.789062975474937e-4
ADI1,27,38,9.7448110419524e-4
AKR1A1,27,38,0.0018560429728721216
MZT2A,27,38,0.002544987420138212
SOX4,27,38,0.003646753913805404
TMEM160,27,38,0.0036557356725535144
TMEM259,27,38,0.004765235134879368
MVP,27,38,0.015574901007406508
A2M,26,38,8.938479915424464e-4
ZDHHC12,26,38,0.0018105517735627658
PLK2,26,38,0.002342681156954029
PGLS,26,38,0.002604034684699219
CXXC5,26,38,0.002717449450917457
ETFB,26,38,0.002803085645074091
CRACR2B,26,38,0.003585799757687286
CPNE1,26,38,0.0035961237987443113
FAM173A,26,38,0.0036171924565881718
LAMTOR2,26,38,0.005405817166776815
GPRC5A,26,37,0.005982753398319464
SNF8,26,38,0.006513157511407311
PPP1R1B,26,38,0.00789482613122747
AURKAIP1,26,38,0.008888350697219757
CAPG,26,38,0.008913935512552951
DPP7,26,38,0.010240535209754039
FGFR4,26,38,0.012391132039423531
SLC9A3R2,26,38,0.013077069097115219
IGHG3,25,38,2.7007935174399034e-5
MMP11,25,38,3.338770281076324e-5
IGHM,25,38,9.615730764516569e-4
HLA-DRA,25,38,0.001017501601804051
PPIB,25,38,0.0013762781843222045
FDPS,25,38,0.0022550913529471865
IGFBP4,25,38,0.0025167523378352673
TPM2,25,38,0.0030471972524145274
DCXR,25,38,0.003465501769331596
BTG1,25,38,0.0037873082772586957
IGLC3,25,38,0.004128403762037018
DNAJB2,25,38,0.004362274087553861
POSTN,25,38,0.004555237820796289
STMN1,25,38,0.009099527302997894
PPM1G,25,38,0.009256586967838992
TM7SF2,24,38,9.615368221041042e-4
CLU,24,38,0.005457773806237896
ITGB6,24,38,0.006076611633071385
NAA10,24,38,0.006547808678349774
CX3CL1,24,38,0.007328747873321335
DAPK3,24,38,0.007939467602352857
RRM2,24,38,0.008337974406090489
KMT2B,24,38,0.00947446077458837
CD68,24,38,0.009486827093625444
POR,24,38,0.01005030168676669
MRPL51,24,38,0.011673939257793338
PLP2,24,38,0.02060159633825015
LIMK1,23,38,0.0011675147055013302
DPM2,23,38,0.003042879385202679
SLC16A3,23,38,0.00658773186164921
RNASET2,23,38,0.009025503131258628
WDR46,23,38,0.01150599526035832
POLR2E,23,38,0.013794552270975263
ISG15,23,38,0.014858041016878352
PXDN,23,38,0.015304209211593997
BCAM,23,38,0.017940106633690302
MID1IP1,23,38,0.020863028121992585
TXN2,23,38,0.022296478336702175
NDUFB2,23,38,0.02235570899468903
NDUFA1,23,38,0.023392380177801243
ELOF1,23,38,0.024684806714221033
FUS,23,38,0.02753530178263683
HLA-DPA1,23,38,0.03506799269737533
EPHB3,22,38,0.004870775063048297
ECM1,22,38,0.0051732662847043314
CD320,22,38,0.006466826504551888
SRSF5,22,38,0.008162136532812607
TCF25,22,38,0.00860685427821405
PITX1,22,38,0.013522916782125352
ZNF787,22,38,0.014906285498239804
CCT4,22,38,0.015495072997609412
RBM42,22,38,0.01587875531823548
LUC7L3,22,38,0.0158877759960281
CDC20,22,38,0.01767589307056428
MLPH,22,38,0.023698347145731977
PTRF,22,38,0.02647501519836233
GAS6,21,38,0.0019210447357397697
LUM,21,38,0.002090661063064913
BABAM1,21,38,0.0065540246526001825
FSTL1,21,38,0.012300240211254827
TFF3,21,38,0.012890105477484506
C1R,21,38,0.013861354672420882
CD14,21,38,0.018417522162489153
UBAP2L,21,38,0.020777080040994954
DNAJC7,21,38,0.022291782436493688
ITGB4,21,38,0.02873983484673322
COL4A1,21,38,0.03034357693981429
TXNRD2,21,38,0.030611365002715836
FOXA1,20,38,0.013351662158730421
RSL1D1,20,38,0.023168186599739286
XAB2,20,38,0.02587563126211854
BOK,20,38,0.028361951461635716
TNC,20,38,0.030712451443675806
COX5A,20,38,0.03573815445693405
PAFAH1B3,20,38,0.0366140748426243
CCDC167,20,38,0.0372386508807336
MIF,20,38,0.04043985991438451
ALG3,20,38,0.04148995533871432
CCL19,19,36,0.011125528333400915
GATC,19,38,0.03391733458086561
VARS,19,38,0.034754464132870914
BIRC5,19,38,0.04162108739567012
ATP6V0D1,19,38,0.042307156331878544
SRSF1,19,38,0.04305360161138194
VEGFB,19,38,0.04363942624536694
CALML5,19,38,0.0440683077501008
CCM2,19,38,0.044990864952605486
BRK1,19,38,0.045409282177682836
PLPPR2,19,38,0.04879398714335535
MRPL54,19,38,0.04882338045762934
ATP5O,19,38,0.051032062779387925
C19orf24,19,38,0.05205221297949278
SRRT,19,38,0.05431737131535915
CCS,19,38,0.05521887088979059
MARS,19,38,0.0561864782136313
ARID5A,19,38,0.060981926842331904
MMP9,19,38,0.06119369537264109
ERAL1,19,38,0.06178695088586332
HLA-DRB1,19,38,0.06350076879026494
TXNDC17,19,38,0.0663276088431361
C6orf48,19,38,0.06679114976933614
PSMD4,19,38,0.06899087634098844
GLTSCR2,19,38,0.07256217958301468
MUS81,19,38,0.11393725178094632
SEMA4B,19,38,0.169501679742052
GMPPA,18,38,0.05510317947007308
CUX1,18,38,0.05708339279466736
DDT,18,38,0.05940966038388115
ZSWIM8,18,38,0.0648860035172838
FARP1,18,38,0.06542069935719617
WDR13,18,38,0.07263717890485662
CADM4,18,38,0.07324298723271205
EFHD2,18,38,0.07783668674517472
THBS1,18,38,0.09353512557532259
PPP1R37,18,38,0.0945882130522949
ARF6,18,38,0.1357114982263632
C1S,18,38,0.16149156995221464
C19orf60,18,38,0.1615591557434789
HYI,18,38,0.19421709344555046
CTSK,18,38,0.2520547500743487
LCP1,18,38,0.3520513908767185
DDRGK1,17,38,0.06612425579487388
DPYSL3,17,38,0.07283664700274399
CORO7,17,38,0.07562810451767946
EIF3G,17,38,0.07812673691591032
GLG1,17,38,0.07848624388662653
EFEMP2,17,38,0.08478335947273141
NFIC,17,38,0.08626335171567635
TYROBP,17,38,0.09193065767895964
SNRPD3,17,38,0.09880555104506158
PWWP2B,17,38,0.1185972731511488
TRAP1,17,38,0.13217054936732442
