fold,unit,n_spots,gene_pcc_mean,gene_pcc_median,frac_positive,spot_pcc_median,sse_ratio_vs_mean
fold00_A,A1,346,0.023791280031030756,0.020948419347405434,0.6302521008403361,0.3580528050661087,1.3343607
fold00_A,A2,325,0.030327036665399786,0.029694865457713604,0.6626650660264105,0.30963730812072754,1.5411402
fold00_A,A3,359,0.03739799056953003,0.03564776852726936,0.7106842737094838,0.3771258592605591,1.505508
fold00_A,A4,343,0.03435772172539115,0.035532113164663315,0.6818727490996399,0.3800690770149231,1.504792
fold00_A,A5,332,0.01738446088358645,0.015380216762423515,0.5918367346938775,0.40035200119018555,1.533333
fold00_A,A6,360,0.02997334996416612,0.03084067441523075,0.673469387755102,0.35440149903297424,1.4738637
fold01_B,B1,295,0.1022108106755907,0.1155589371919632,0.7695078031212484,0.46177539229393005,1.1628377
fold01_B,B2,270,0.1320143882419309,0.15477289259433746,0.801920768307323,0.39532192051410675,1.1547884
fold01_B,B3,298,0.11771329581052634,0.12791816145181656,0.7899159663865546,0.41100744903087616,1.1547357
fold01_B,B4,283,0.14552230641088812,0.16469602286815643,0.7947178871548619,0.36157727241516113,1.1625621
fold01_B,B5,289,0.10803283493281085,0.11186274513602257,0.7887154861944778,0.4886350780725479,1.1366168
fold01_B,B6,277,0.13938833163925363,0.15303641557693481,0.7899159663865546,0.44899553060531616,1.1172909
fold02_C,C1,176,0.10095624594625778,0.0947236455976963,0.8259303721488596,0.588316947221756,1.2568756
fold02_C,C2,187,0.09951025209346147,0.10568132624030113,0.8211284513805522,0.6206940710544586,1.2743495
fold02_C,C3,180,0.08629624147346686,0.08735932037234306,0.8139255702280912,0.6113703846931458,1.3126737
fold02_C,C4,184,0.09378222045733726,0.09026727080345154,0.8151260504201681,0.6278810501098633,1.3628418
fold02_C,C5,181,0.07846912178557246,0.0802854672074318,0.801920768307323,0.6366012692451477,1.3557674
fold02_C,C6,178,0.10286748655038677,0.09891205281019211,0.8247298919567827,0.6345658898353577,1.4437038
fold03_D,D1,306,0.08214972587672946,0.08217804878950119,0.8223289315726291,0.5780453383922577,1.3609096
fold03_D,D2,303,0.10725295989038157,0.09675059095025063,0.8463385354141657,0.5731997489929199,1.2036282
fold03_D,D3,301,0.09652130849928575,0.09688718616962433,0.843937575030012,0.5981127917766571,1.2709999
fold03_D,D4,302,0.12199129860893157,0.12090422213077545,0.8775510204081632,0.6122966408729553,1.2346165
fold03_D,D5,306,0.09827751274282359,0.09320022165775299,0.8607442977190877,0.6073669195175171,1.3218882
fold03_D,D6,315,0.10591028753337758,0.1027577742934227,0.9039615846338536,0.6132908463478088,1.267104
fold04_E,E1,587,0.0004994216809053732,0.0016879666363820434,0.5114045618247299,0.5273178219795227,1.8437154
fold04_E,E2,572,0.0009157808600154847,0.0006347862654365599,0.5054021608643458,0.5864762365818024,1.6460989
fold04_E,E3,570,-0.002096896423494078,-0.00024502689484506845,0.4969987995198079,0.5774281620979309,1.664801
fold05_F,F1,691,-0.0031487585237181368,-0.0053501795046031475,0.47058823529411764,0.5479064583778381,1.2133378
fold05_F,F2,695,0.004992583952202802,0.0034290142357349396,0.5222088835534213,0.5522897839546204,1.1927607
fold05_F,F3,712,-0.005083851541389077,-0.00637874030508101,0.4429771908763505,0.5479595363140106,1.2230091
fold06_G,G1,441,0.09677917563304331,0.09227269142866135,0.8931572629051621,0.497037410736084,1.159754
fold06_G,G2,467,0.10502267221803044,0.10644953697919846,0.8847539015606243,0.5045051574707031,1.1596482
fold06_G,G3,463,0.10711412411029204,0.10622195899486542,0.9099639855942377,0.47542768716812134,1.1771135
fold07_H,H1,613,0.099031473032384,0.1026308424770832,0.8931572629051621,0.4804341495037079,1.3802319
fold07_H,H2,603,0.11576430739614807,0.12128851935267448,0.8835534213685474,0.48572883009910583,1.350594
fold07_H,H3,510,0.08984507611914429,0.09186889976263046,0.8835534213685474,0.44512839615345,1.3727152
