gene,pcc,n_units,pcc_fold00_A,pcc_fold01_B,pcc_fold02_C,pcc_fold03_D,pcc_fold04_E,pcc_fold05_F,pcc_fold06_G,pcc_fold07_H
A2M,0.10049460630398244,8,-0.013856540434062481,0.2504297196865082,-0.03791487216949463,0.12376712262630463,0.0024800654500722885,-0.01826104149222374,0.19402799010276794,0.3032844066619873
AAMDC,0.049356397008523345,8,0.01580127142369747,0.11829407513141632,0.13452884554862976,0.09873951971530914,-0.05359579622745514,-0.07142487913370132,0.07247237116098404,0.08003576844930649
ABCA3,0.06571672812788165,8,0.004206379875540733,0.19836804270744324,0.08101530373096466,0.04527509585022926,0.0003773292701225728,-0.021763652563095093,0.10146655887365341,0.11678876727819443
ABCA7,0.06704349012579769,8,0.02510981075465679,0.12003351002931595,0.06767360121011734,0.06329712271690369,0.07016327232122421,0.011517678387463093,0.049844056367874146,0.1287088692188263
ABCF3,0.1300914075691253,8,0.06849813461303711,0.2291485220193863,0.15965427458286285,0.18460898101329803,0.07042389363050461,-0.013459904119372368,0.17984233796596527,0.16201502084732056
ABHD14A,0.036481677991105244,8,0.03654627874493599,0.05961252748966217,0.11688873916864395,0.034634701907634735,-0.0003781022969633341,-0.03320642560720444,0.04039612412452698,0.037359580397605896
ABHD4,0.032055337709607556,8,0.024310793727636337,0.05012494698166847,0.052354201674461365,0.06667448580265045,0.0030769838485866785,-0.05831288546323776,0.05654901638627052,0.06166515871882439
ACAA1,0.09390157728921622,8,0.052983369678258896,0.2269899994134903,0.14003336429595947,0.09076032042503357,0.01023236196488142,-0.05393902212381363,0.1487331986427307,0.13541902601718903
ACER3,-0.008003271534107625,8,-0.03008296713232994,0.01791858859360218,-0.025026584044098854,0.05400950461626053,-0.0030595725402235985,-0.006095657125115395,-0.02018715627491474,-0.051502328366041183
ACTR3B,0.06645683306851424,8,0.06719473749399185,0.0888802707195282,0.06329823285341263,0.09308212250471115,-0.0023891746532171965,0.02886471338570118,0.052435364574193954,0.14028839766979218
ADAM15,-0.0006472445093095303,8,-0.11955203115940094,-0.12309644371271133,0.017002442851662636,0.08755580335855484,-0.05495988950133324,-0.05868443474173546,0.22253532707691193,0.024021269753575325
ADCY3,0.03343084872176405,8,0.012775096110999584,0.043181128799915314,0.048538438975811005,0.05636395514011383,0.0015988544328138232,-0.036583300679922104,0.06865406036376953,0.07291855663061142
ADI1,0.10834603174589574,8,0.015900876373052597,0.21426072716712952,0.21060867607593536,0.13890340924263,-0.02062165178358555,-0.0322774238884449,0.19539222121238708,0.14460141956806183
AEBP1,-0.05175352096557617,8,-0.14030879735946655,-0.058278851211071014,-0.08897825330495834,-0.11559399962425232,-0.060896895825862885,-0.15700966119766235,0.07148223370313644,0.13555605709552765
AES,0.07424774381797761,8,-0.008217851631343365,0.16550199687480927,0.10173439234495163,0.03867093473672867,-0.03667350858449936,-0.018259717151522636,0.1710742712020874,0.18015143275260925
AGAP2,0.005570310022449121,8,-0.03972100466489792,-0.007058793678879738,-0.06481336802244186,0.0036473970394581556,0.06436394155025482,-0.007305830717086792,0.02309868298470974,0.07235145568847656
AGO2,0.0860287506984605,8,0.07646997272968292,0.07347997277975082,0.1524983048439026,0.12004541605710983,0.0003630142018664628,0.015643728896975517,0.1113613024353981,0.13836829364299774
AGPAT2,0.09952299646101892,8,0.008289285935461521,0.14990417659282684,0.1820318102836609,0.2209845632314682,-0.0145774120464921,-0.030373455956578255,0.15723612904548645,0.12268887460231781
AGR2,0.09772861516103148,8,0.05526694282889366,0.31454017758369446,0.2528192102909088,0.09945198148488998,-0.056191325187683105,-0.03191908076405525,0.10032626986503601,0.047534745186567307
AHCY,0.08269319904502481,8,0.04406270384788513,0.24102483689785004,0.16394475102424622,0.12404312193393707,-0.06865943223237991,-0.0015417160466313362,0.09936586022377014,0.05930546671152115
AKAP9,0.020960724606993608,8,0.02473302185535431,-0.06046005338430405,0.001468182890675962,0.05757467821240425,0.026823116466403008,-0.0020477231591939926,0.07242876291275024,0.04716581106185913
AKR1A1,0.12806288042338565,8,0.10291135311126709,0.2715701162815094,0.2193041890859604,0.1616445630788803,-0.0064625791274011135,-0.0342903696000576,0.11422189325094223,0.1956038773059845
AKT1S1,0.07833097423281288,8,-0.02040029875934124,0.18929824233055115,0.10531607270240784,0.12699930369853973,-0.0001470603165216744,-0.03796643018722534,0.14238476753234863,0.12116319686174393
ALDH16A1,0.0648068836890161,8,0.038866620510816574,0.1596796065568924,0.07431039214134216,0.061216481029987335,-0.03879212960600853,0.012697193771600723,0.07564669847488403,0.13483020663261414
ALG3,0.13275904254987836,8,0.06654010713100433,0.2452273666858673,0.1497170329093933,0.15608017146587372,0.04281475022435188,0.0014690607786178589,0.20334292948246002,0.19688092172145844
ANGPTL4,0.0011686882935464382,8,-0.0271634329110384,0.015416535548865795,-0.0491684153676033,-0.0052187019027769566,0.005605900194495916,-0.02588341385126114,0.05827360600233078,0.03748742863535881
ANKLE2,0.13110153621528298,8,0.04623336344957352,0.25244832038879395,0.12828880548477173,0.21314603090286255,0.03054908663034439,0.004285995848476887,0.1520387977361679,0.2218218892812729
ANKRD12,0.03940485225757584,8,0.026389632374048233,0.11798498779535294,0.06604121625423431,0.028757978230714798,0.024617360904812813,0.029676232486963272,-0.006357035133987665,0.028128445148468018
ANKRD28,0.0519883165252395,8,0.029300231486558914,0.11497993767261505,0.020135391503572464,0.08225011825561523,0.003930023405700922,0.016330711543560028,0.052522823214530945,0.09645729511976242
ANLN,0.074874208541587,8,0.10961752384901047,0.0939449742436409,0.07475950568914413,0.0749601349234581,-0.017757143825292587,0.010843848809599876,0.14912937581539154,0.10349544882774353
ANO10,0.04558199713937938,8,0.054850947111845016,0.07330968230962753,0.10925239324569702,0.04437655955553055,-0.07570373266935349,-0.012559136375784874,0.08259967714548111,0.08852958679199219
AP5B1,0.010127061832463369,8,-0.045504190027713776,0.0717279314994812,-0.0029515151400119066,0.052552781999111176,0.008899529464542866,-0.05391978472471237,-0.0109727056697011,0.06118444725871086
AP5Z1,0.09697755085653625,8,0.030411764979362488,0.1805303394794464,0.10418401658535004,0.10918088257312775,0.03578031808137894,-0.0025565449614077806,0.205996572971344,0.1122930571436882
APBA2,0.0857285602542106,8,0.0029580642003566027,0.13252940773963928,0.17992398142814636,0.056307196617126465,0.004137963056564331,0.038307130336761475,0.09716854989528656,0.17449618875980377
APBB2,0.04448527761269361,8,0.007573910057544708,0.12083528935909271,0.043588750064373016,0.019704924896359444,0.005894517060369253,0.005191538017243147,0.026508523151278496,0.12658476829528809
APOBEC3G,0.05252316046971828,8,-0.03417281433939934,0.1894276738166809,0.04521086439490318,0.072577565908432,-0.025623532012104988,-0.010166407562792301,0.0617830716073513,0.12114886194467545
APOC1,0.030971032567322254,8,-0.10880033671855927,0.15489663183689117,-0.02060983143746853,0.021457122638821602,0.02191707119345665,-0.08452192693948746,0.11039944738149643,0.15303008258342743
