gene,pcc,n_units,pcc_A1,pcc_A2,pcc_A3,pcc_A4,pcc_A5,pcc_A6,pcc_B1,pcc_B2,pcc_B3,pcc_B4,pcc_B5,pcc_B6,pcc_C1,pcc_C2,pcc_C3,pcc_C4,pcc_C5,pcc_C6,pcc_D1,pcc_D2,pcc_D3,pcc_D4,pcc_D5,pcc_D6,pcc_E1,pcc_E2,pcc_E3,pcc_F1,pcc_F2,pcc_F3,pcc_G1,pcc_G2,pcc_G3,pcc_H1,pcc_H2,pcc_H3
A2M,0.09321810278601737,36,0.05040259286761284,-0.07968057692050934,-0.062335070222616196,0.029495861381292343,0.06712299585342407,-0.05287531018257141,0.20535807311534882,0.3113987147808075,0.2773352265357971,0.3024810254573822,0.2542446255683899,0.2322770655155182,-0.060870736837387085,-0.040899936109781265,-0.07691064476966858,-0.08378533273935318,-0.0034195398911833763,0.002302909968420863,0.0029137912206351757,0.15948273241519928,0.04656502604484558,0.16982139647006989,0.11608012765645981,0.08086548745632172,0.039482902735471725,0.09862495958805084,-0.04814285784959793,0.007468591909855604,0.011311969719827175,-0.12625916302204132,0.24397322535514832,0.0777454525232315,0.2809081971645355,0.27496203780174255,0.3594937324523926,0.2889121472835541
AAMDC,0.06845711022874133,36,0.1244879961013794,0.02789396420121193,0.0232401005923748,-0.0422598160803318,-0.06913907825946808,0.04658595845103264,0.09707998484373093,0.06707163155078888,0.13739344477653503,0.21773193776607513,0.08972275257110596,0.13899321854114532,0.23927682638168335,0.19569014012813568,-0.0017969519831240177,0.1062563955783844,0.042856208980083466,0.1963687539100647,0.09769003093242645,0.18688596785068512,0.06876920908689499,0.09116974472999573,0.16084463894367218,-0.024057313799858093,-0.029118210077285767,-0.06983238458633423,-0.046664368361234665,-0.03847893327474594,-0.02522250823676586,0.008314362727105618,0.03496839106082916,0.08134830743074417,0.08735724538564682,0.09963738173246384,0.12136922776699066,0.022021710872650146
ABCA3,0.07575545348825269,36,0.10313162952661514,-0.011228866875171661,0.046028513461351395,-0.037590861320495605,-0.05487339198589325,-0.016021236777305603,0.13311700522899628,0.1752159744501114,0.1629866659641266,0.2190832644701004,0.3074960708618164,0.22945812344551086,-0.0014786665560677648,0.20877273380756378,0.01781313493847847,0.14664502441883087,-0.01866939663887024,0.10726115107536316,0.004936061799526215,0.13630178570747375,0.12253803014755249,0.04097684100270271,0.06916233897209167,-0.000217984284972772,0.027698826044797897,-0.025291234254837036,0.005768566392362118,-0.015316043980419636,-0.023781200870871544,0.015900475904345512,0.0769168958067894,0.1556716412305832,0.07015515118837357,0.1163349449634552,0.09308800846338272,0.13920634984970093
ABCA7,0.07185995852988628,36,-0.12105649709701538,0.017274560406804085,0.12293016165494919,0.03007662482559681,0.07560859620571136,0.035099614411592484,0.16157804429531097,0.1622220128774643,0.15340828895568848,0.09264811873435974,0.02892390824854374,0.1616712212562561,0.09945705533027649,0.1745164543390274,0.15277394652366638,0.04947507381439209,-0.038388460874557495,0.023257186636328697,0.044984009116888046,0.10652527213096619,0.09999635070562363,0.034579284489154816,0.1742589920759201,-0.04448487609624863,0.07457710057497025,0.04697483777999878,0.07711941748857498,0.06231255084276199,-0.020480720326304436,0.015627793967723846,0.049046069383621216,0.03841781243681908,0.0627971962094307,0.12609539926052094,0.1037634015083313,0.15337270498275757
ABCF3,0.14678368132768405,36,0.05511407181620598,0.024566300213336945,0.13212330639362335,0.06874455511569977,0.018320182338356972,0.11506736278533936,0.26526299118995667,0.2303699254989624,0.23481905460357666,0.30963048338890076,0.17394328117370605,0.1962965875864029,0.22459028661251068,0.20427222549915314,0.030035223811864853,0.12897156178951263,0.16419459879398346,0.23577547073364258,0.15800094604492188,0.18898147344589233,0.27874955534935,0.2520277798175812,0.22951947152614594,0.14043444395065308,0.095066137611866,0.04206640273332596,0.0923505499958992,-0.024448584765195847,0.02698497474193573,-0.0491689071059227,0.16574761271476746,0.170355424284935,0.23615023493766785,0.16397666931152344,0.17894713580608368,0.12637373805046082
ABHD14A,0.04311541020514495,36,0.11884500831365585,0.009747759439051151,0.039167724549770355,-0.05801841616630554,-0.007024524733424187,0.08265151083469391,0.07878333330154419,0.04664420336484909,0.0757545530796051,0.10548370331525803,-0.0009542344487272203,0.057291630655527115,0.0465191975235939,0.166605606675148,0.09505932033061981,0.08267714828252792,0.1400587260723114,0.14233556389808655,0.00922662578523159,-0.0031879530288279057,-0.033594436943531036,0.10503558069467545,0.007743461988866329,0.047839630395174026,-0.0073496694676578045,0.02381303906440735,0.0034534428268671036,-0.011051001958549023,-0.019686946645379066,-0.05006206035614014,0.004437635652720928,0.04966975376009941,0.08938007801771164,0.0036521838046610355,0.055318038910627365,0.0558895505964756
ABHD4,0.03686329716260338,36,0.06652417033910751,0.04508276656270027,0.05028068646788597,0.06554616987705231,-0.046643078327178955,-0.03296653553843498,0.014316708780825138,0.11649052798748016,0.11305863410234451,0.07931066304445267,-0.04034380242228508,0.07825027406215668,0.025305164977908134,0.05958569422364235,0.18547426164150238,0.021513473242521286,-0.02185196802020073,0.016257697716355324,0.08769490569829941,0.09214748442173004,0.04341000318527222,-0.09412533789873123,0.07449784874916077,0.16888189315795898,0.06612306088209152,-0.04531809315085411,-0.012987649068236351,0.0017905241111293435,-0.05189847946166992,-0.09312497824430466,0.008105307817459106,0.07869771122932434,0.04256989434361458,0.08859092742204666,0.023172134533524513,0.05366003140807152
ACAA1,0.11078117516202231,36,0.05361286178231239,0.08251605927944183,0.02523059956729412,0.10054299235343933,0.06088123098015785,0.07756271958351135,0.17944973707199097,0.23087157309055328,0.19148896634578705,0.2563002407550812,0.227854922413826,0.2837529182434082,0.22443422675132751,0.0797709971666336,0.16962073743343353,0.21293343603610992,0.01489531435072422,0.10712841153144836,0.0679217204451561,0.05412213131785393,0.08952288329601288,0.16381299495697021,0.11739520728588104,0.050706896930933,0.03542485460639,0.02369498275220394,0.0026571382768452168,0.0020126053132116795,0.011334637179970741,-0.09434698522090912,0.2177710235118866,0.10833863914012909,0.16029945015907288,0.17024533450603485,0.12219341844320297,0.10616742819547653
ACER3,-0.0022923528772985768,36,-0.08025772869586945,0.016733640804886818,-0.06929159164428711,0.044998276978731155,0.005358017049729824,-0.09532903134822845,-0.057621195912361145,0.05818723514676094,0.027676356956362724,0.15487143397331238,0.024472583085298538,-0.032573457807302475,0.048800475895404816,-0.01703217439353466,-0.0478181354701519,-0.05563719570636749,-0.06397363543510437,-0.02096651867032051,0.10050889849662781,0.038797542452812195,0.03981265053153038,0.07128775864839554,0.05482684448361397,0.007113284431397915,-0.0027220111805945635,-0.038100793957710266,0.04135691374540329,0.022799009457230568,-0.00629049027338624,-0.016939233988523483,-0.03680594637989998,-0.030143633484840393,0.014295274391770363,-0.06686196476221085,-0.12815652787685394,0.01210036687552929
ACTR3B,0.07169159468281174,36,0.08957057446241379,0.11056564748287201,0.05243656784296036,0.01238447055220604,0.03436633571982384,0.11556701362133026,0.07933234423398972,0.17086616158485413,0.039120983332395554,0.1732994019985199,0.03978464752435684,0.08152421563863754,-0.030423471704125404,0.04933634027838707,0.00017129075422417372,0.06982478499412537,0.13836516439914703,0.13301800191402435,0.14574910700321198,0.14147044718265533,0.04715817794203758,0.13907596468925476,0.016328908503055573,0.07378987222909927,0.06091662123799324,0.01809023879468441,-0.09679658710956573,0.004544935189187527,0.0662437230348587,0.01891615055501461,0.04515240713953972,0.07089798152446747,0.04257358983159065,0.11496847867965698,0.14127175509929657,0.1714351624250412
ADAM15,-0.024466749772222504,36,-0.17610198259353638,-0.23746667802333832,-0.11760687083005905,-0.24618440866470337,-0.2045430988073349,-0.0027960867155343294,-0.045551832765340805,-0.21464045345783234,-0.07286130636930466,-0.1273781955242157,-0.20592425763607025,-0.09470687806606293,0.1530587077140808,-0.029662350192666054,0.0353880301117897,0.03303960710763931,-0.02451278269290924,-0.07101757824420929,0.0251176655292511,0.2465151846408844,0.0008566365577280521,0.06398404389619827,0.033261027187108994,-0.020893519744277,0.03079812601208687,-0.10434425622224808,-0.0966663807630539,-0.08541276305913925,0.0020566319581121206,-0.02767152711749077,0.155427485704422,0.20117595791816711,0.20968548953533173,0.08940399438142776,0.028473174199461937,0.01689845323562622
ADCY3,0.0393868734051163,36,-0.037971727550029755,0.001963196322321892,0.09208329766988754,-0.026930371299386024,-0.00531401950865984,0.06896136701107025,0.03425149247050285,0.22687986493110657,-0.03820998594164848,0.10069726407527924,0.04057091847062111,-0.02767648920416832,0.0797099769115448,0.11686163395643234,0.06098990887403488,-0.0166159737855196,-0.0055762422271072865,0.09740579128265381,0.07254769653081894,0.07264915108680725,0.030205601826310158,0.0962204709649086,0.06024220213294029,0.0060121603310108185,0.060557764023542404,-0.0006636204198002815,-0.04960095137357712,-0.03493001312017441,-0.010898004285991192,-0.060433514416217804,0.03068475052714348,0.13043813407421112,0.0409424789249897,-0.03833336383104324,0.12170713394880295,0.12849946320056915
